Street,Locality (* indicates existing sites),Start of camera zone,End of camera zone,Go-live Date
West Coast Road,Glen Eden,"-36.909258, 174.634322","-36.908515, 174.642780",November 2015
Candia Road,Henderson Valley,"-36.897066, 174.596018","-36.868174, 174.589258",August 2015
Great North Road,Kelston*,"-36.908900, 174.666421","-36.909201, 174.672753",March 2015
Old North Road,Kumeu,"-36.776609,174.576509","-36.787316,174.576956",June 2017
Coatesville-Riverhead Highway,Coatesville,"-36.734270, 174.623297","-36.740262, 174.621261",July 2018
State Highway 1,Wellsford,"-36.329138, 174.546518","-36.303463, 174.527110",June 2018
State Highway 17,Albany Heights,"-36.714135, 174.674193","-36.721391, 174.688924",June 2018
Great North Road,Henderson,"-36.879606, 174.635283","-36.881554, 174.639746",August 2018
Twin Coast Discovery Highway,Dome Valley,"-36.359092, 174.603529","-36.348726, 174.590635",June 2018
Rata Street,New Lynn,"-36.906690, 174.678493","-36.903267, 174.681476",March 2018
East Coast Road,Redvale,"-36.697902, 174.717437","-36.688736, 174.705979",December 2017
Ngapipi Road,Orakei,"-36.856688,174.810312","-36.852601,174.805502",February 2017
Tamaki Drive,Parnell,"-36.847683, 174.787710","-36.852929, 174.805641",March 2018
Hillsborough Road,Hillsborough,"-36.922161, 174.754243","-36.924856, 174.752129",March 2018
Great North Road,Grey Lynn,"-36.866494, 174.738467","-36.866773, 174.740170",April 2018
Great South Road,Otahuhu*,"-36.957346, 174.852735","-36.953253, 174.846740",February 2015
Mill Road,Totara Park,"-36.995929, 174.922528","-37.010572, 174.935420",December 2014
Murphys Road,Totara Park,"-36.989559, 174.915508","-36.967326, 174.924771",December 2014
Mahia Road,Wattle Downs,"-37.038140, 174.888030","-37.039674, 174.883694",March 2018
Massey Road,Mangere,"-36.976446, 174.800710","-36.977587, 174.804097",April 2018
Waiuku Road,Mauku,"-37.214831, 174.797426","-37.219555, 174.780204",January 2018
Glenbrook Road,Kingseat,"-37.171918, 174.797638","-37.176456, 174.785253",April 2018
Awhitu Road,Karioitahi,"-37.226418, 174.700419","-37.231488, 174.702240",January 2018